Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-06-17 10:20:40 UTC,1.907808116,WAL,0.278014413,SUI,0.01455466,SUI,,,,Sui Tx,GjFPVDoUucKfscWnrPg6SoEnnMh7TpRPR1ihdNgAmodR
2025-06-17 10:21:06 UTC,2.867471,USDC,0.954745917,SUI,0.006814204,SUI,,,,Sui Tx,73SAa96ztZ85kXbnAZn4GjBjWD6Bw7aTS8q7GtGF8kmd
2025-06-17 20:05:38 UTC,,,0.516783074,SUI,0.007000032,SUI,,,,Sui Tx,Anmk5RgF56tcsrka4VWhqsL2WzfXoej81PREJRkyf83i
2025-06-17 20:44:44 UTC,,,0.495247063,SPRING_SUI,0.014868972,SUI,,,,Sui Tx,J9qchkGTk2a324p7pUhKqXH3LX56JQXUhxrogjaA5MWp
2025-06-17 20:44:56 UTC,0.495247062,SPRING_SUI,0.48691731,SUI,0.015408724,SUI,,,,Sui Tx,8QXJjWDoxsgm1p7Rde68vr11CTp2AfpZS5tHyTED4BQZ
2025-06-17 20:45:07 UTC,2.430362513,WAL,0.352002084,SUI,0.02817352,SUI,,,,Sui Tx,Hjprm1j877wrnCZbgcvF67FPbY9JTqgFUTXBX8pe4Kps
2025-06-17 20:45:32 UTC,,,,,0.06126172,SUI,,,,Sui Tx,73CsDUfcaKPW41rJNmny8YxwRUcb3atEUK6wtWdWpHme
2025-06-17 20:45:51 UTC,0.033827581,SUI,,,0.07152468,SUI,,,,Sui Tx,Ceb9HA9fZGMT5FD8ykyaEmJwKUjo5JVFk3NJKTQ7mrr3
2025-06-18 08:15:51 UTC,,,80.681512156,SUI,0.005587636,SUI,,,,Sui Tx,2pFnftBpcpVbiKqYXrcHMp93T3cixjU4j5Y5WknJmCY7
2025-06-18 08:18:17 UTC,80.0,SUI,231.138983,USDC,0.004169728,SUI,,,,Sui Tx,EkbAhuGeiEuf3eRzrRrYVJQaaHSa3afC2u5Y126eTFZD
2025-06-18 08:19:30 UTC,14.999999,USDC,0.109974645,DEEP,0.016304664,SUI,,,,Sui Tx,792wFf9L2CQXLP5yGXgxZzi8WRJL5hJ6qsrngKVt6QuX
2025-06-18 08:22:38 UTC,189.212706,USDC,,,0.012267744,SUI,,,,Sui Tx,GjYCf1bSiSXiibGssHiV2VbL8mjJyUCmnBcJMKLx9wPP
2025-06-18 08:23:35 UTC,13.463139,USDC,0.098932247,DEEP,0.004179228,SUI,,,,Sui Tx,CrRXNWq1zfhEstchdCEjKjV78CFDfu3sJhWNXDzMAtCJ
2025-06-18 08:24:04 UTC,13.463139,USDC,,,0.009649392,SUI,,,,Sui Tx,BbHMxHreC2utq6FAMRgYgXkwJp8FVgoLCSLgQHFKH3YR
2025-06-18 11:15:42 UTC,,,0.183856255,SUI,0.019534472,SUI,,,,Sui Tx,3KWdsAjkgTuYa2jR8HwPNUU7ejMhc42BPuUgKAab5ywV
